Axial,Tangential,Radial,fault
-0.04,0.47,8.94,1
-1.37,1.92,9.06,1
-3.22,0.35,10.83,1
-1.06,-0.98,10.24,1
0.12,0.2,8.67,1
-1.88,-0.78,10.71,1
-0.43,0.47,8.51,1
1.33,2.55,9.38,1
-1.14,0.94,10.63,1
0.12,-0.9,10.43,1
-2.16,2.24,9.26,1
-1.53,0.86,11.69,1
-0.55,-1.29,10.08,1
-0.04,0.08,8,1
-1.49,2.47,9.73,1
0.9,0.94,11.77,1
1.57,1.96,9.41,1
-2.28,0.82,10.28,1
-3.41,-0.47,10.2,1
0.9,0.71,9.02,1
-1.22,0.82,9.22,1
-0.43,-1.49,10.12,1
-0.24,0.55,7.96,1
-1.22,2.79,10,1
-0.86,0.59,11.69,1
-0.75,-1.26,10.08,1
-0.39,1.1,8.32,1
-2.67,-1.18,10.43,1
0.86,0.55,11.65,1
0.59,1.57,9.02,1
-3.22,0.43,10.2,1
-2.59,-1.22,9.96,1
0.75,0.12,9.3,1
-0.59,0.08,11.57,1
-0.67,-1.02,10.08,1
-0.59,1.37,8.47,1
-0.24,2.63,10.36,1
-0.75,0.24,11.57,1
-0.63,-1.02,10.16,1
-0.59,1.1,8.28,1
-2.86,-1.06,10.12,1
0.78,0.63,9.34,1
0.75,1.61,9.1,1
-2.94,0.39,10.24,1
-0.63,-1.26,10,1
-0.47,0.59,9.22,1
-0.71,0.35,11.77,1
-0.63,-1.14,10.08,1
-0.24,0.63,8.16,1
-1.53,2.59,9.89,1
-1.1,0.82,11.96,1
1.45,-1.26,10.08,1
-2.16,0.71,10.47,1
-3.18,-0.71,10.16,1
0.75,0.78,9.1,1
1.41,1.61,9.3,1
-0.59,0.59,10.16,1
-0.59,1.14,8.2,1
-0.24,2.71,10.43,1
-0.51,-0.08,11.45,1
-0.75,-0.67,10.16,1
-1.06,1.84,8.63,1
0.51,2.31,10.94,1
0.12,-0.82,11.06,1
-0.9,1.88,9.1,1
-3.49,0.47,10.75,1
-1.1,-1.02,10.16,1
0.08,0.31,8.75,1
-1.96,2,9.06,1
-0.24,0.35,11.34,1
1.53,2.39,9.41,1
-1.61,0.82,10.51,1
-2.94,-0.47,10.2,1
0.67,0.86,8.9,1
-1.1,0.94,9.3,1
-0.63,-1.33,10.08,1
-0.59,0.98,8.2,1
-0.35,2.43,10.4,1
-0.63,0.08,11.53,1
-0.86,-0.59,10.08,1
-1.02,1.77,8.63,1
-1.88,-1.37,11.1,1
0.31,0.24,11.1,1
-0.98,1.77,9.06,1
-3.61,0.59,10.87,1
-1.14,-0.94,10.12,1
0.16,0.2,8.79,1
-1.69,-0.9,9.02,1
-0.24,0.27,8.51,1
1.53,2.28,9.38,1
-1.41,0.9,10.51,1
-2.98,-0.71,10.24,1
0.55,0.86,8.98,1
-1.06,0.98,12,1
-0.71,-1.1,10.16,1
-0.59,1.22,8.28,1
-0.08,2.63,10.71,1
-0.71,-0.47,11.34,1
-0.9,-0.27,9.81,1
-0.51,1.88,8.71,1
-1.49,-1.33,9.89,1
0.27,0.16,9.06,1
-1.53,2.24,9.14,1
-2.9,0.51,11.06,1
0.78,-1.06,10.4,1
-1.33,0.98,10.59,1
-2.28,-0.78,10.24,1
0.16,0.78,8.75,1
1.49,2.24,9.53,1
-2.08,0.67,10.2,1
0.12,0.78,10,1
-0.75,2.43,9.89,1
-0.9,0.31,11.69,1
-0.78,-0.86,10.12,1
-0.75,1.33,8.43,1
0,2.47,10.67,1
0.51,0.35,9.41,1
0.31,1.33,9.26,1
-3.33,0.16,10.4,1
-2.43,-1.22,9.57,1
0.04,2.43,10.75,1
-0.82,-0.39,11.45,1
-1.02,-0.63,10,1
-0.78,1.69,8.51,1
0.08,2.2,11.1,1
-1.26,-0.86,11.14,1
-1.1,-0.35,9.26,1
-3.49,1.88,8.71,1
-1.06,-1.29,9.89,1
0,-0.12,9.02,1
-1.49,2.28,9.38,1
-3.02,0.24,10.9,1
-0.71,-1.1,10.24,1
-0.98,0,8.63,1
-1.92,-1.22,10.59,1
-0.12,0.2,8.51,1
0.67,2.16,9.26,1
-1.26,0.67,10.87,1
-2.12,-1.18,10.36,1
-1.45,0.39,8.55,1
-1.77,0.31,11.18,1
-0.9,-1.33,10.32,1
0.27,0.24,8.24,1
-1.18,2.43,9.14,1
-1.61,0.39,11.41,1
1.18,2.12,10.24,1
-1.77,0.75,10.71,1
-1.96,-1.02,10.32,1
-0.04,0.43,8.55,1
1.02,2.31,9.45,1
-1.02,-1.14,10.71,1
0.31,0.12,10.36,1
-1.37,2.43,9.14,1
-2.04,0.39,11.14,1
-0.86,-1.33,10.24,1
0.24,0.24,8.24,1
-2.24,2.43,9.3,1
