Axial,Tangential,Radial,fault
0.63,3.65,8.47,0
-0.75,-1.65,7.22,0
-1.84,-2.59,11.92,0
-0.59,3.18,11.69,0
0.43,3.18,8.51,0
2.51,0.39,7.96,0
-0.04,-2.47,9.06,0
-3.69,0.71,12.08,0
-1.37,4.24,9.96,0
-0.16,4.08,7.69,0
-0.43,-2.12,7.92,0
-1.33,-2.39,11.81,0
-0.51,3.37,11.57,0
-0.39,3.84,8.12,0
-0.27,-2.39,8,0
-0.71,-2.67,12.08,0
-3.73,2.94,11.41,0
-0.51,4.08,10.32,0
2.63,0.08,7.53,0
-0.94,-2.67,9.41,0
-3.77,0.43,12.32,0
-0.24,3.73,10.04,0
-0.82,-0.04,7.57,0
0.27,-2.79,8.39,0
-0.43,-2.39,11.89,0
-0.78,2.94,11.18,0
-1.14,3.61,7.85,0
0.71,-2.79,8.67,0
-0.47,-1.88,11.61,0
-3.8,4.39,11.18,0
0.98,4.16,9.85,0
1.69,-0.12,7.3,0
-1.77,-3.26,9.65,0
-3.53,1.33,12.51,0
1.14,3.84,9.85,0
-0.86,3.18,7.88,0
1.45,-3.22,8.87,0
-0.31,-1.77,11.69,0
-1.96,3.92,10.9,0
-0.47,2.82,7.96,0
0.63,0,6.98,0
-2.16,-3.37,10.08,0
-2.55,1.88,12.83,0
1.8,4.55,9.61,0
0.08,-0.24,7.1,0
1.69,-3.18,8.9,0
-1.1,-0.82,11.57,0
-2.28,3.77,10.75,0
0.24,1.49,8.2,0
1.92,-3.1,9.06,0
-2.35,-3.37,10.43,0
-1.73,1.84,12.67,0
1.73,3.96,8.9,0
-0.39,-0.59,7.06,0
-2.28,-3.26,10.98,0
-1.41,1.96,12.47,0
1.73,3.77,9.02,0
0.9,0.9,8.04,0
1.37,-2.79,9.06,0
-2.12,0.04,11.81,0
-1.06,4.35,10.32,0
1.65,3.49,9.14,0
-0.9,-0.9,6.94,0
-2.2,-3.1,11.49,0
-1.14,2.98,12.08,0
0.9,3.8,8.63,0
1.88,0.51,8.12,0
0.82,-2.55,9.1,0
-3.18,0.86,11.85,0
-2.04,3.96,10.43,0
2.28,0.16,8,0
-0.55,-1.61,7.41,0
-1.88,-2.86,11.81,0
-0.39,3.14,11.89,0
0.51,3.65,8.32,0
-0.63,-2.16,7.65,0
0.27,-2.75,12,0
-3.69,0.63,11.96,0
-1.61,3.8,10.36,0
2.55,0.27,7.77,0
-0.51,-2.35,9.06,0
-3.96,0.16,12.24,0
-0.2,4.12,10.12,0
-0.16,3.57,8.24,0
-0.12,-2.82,8.08,0
-0.86,-2.39,11.96,0
-0.43,3.45,11.45,0
-0.67,3.41,8.08,0
0.08,-2.75,8.2,0
-0.86,-2.55,9.18,0
-3.73,0.31,12.36,0
-0.59,3.8,10.2,0
2.55,-0.08,7.57,0
-1.18,-2.43,9.34,0
-4.08,0.27,12.43,0
-0.82,3.77,10.24,0
-0.75,3.69,7.88,0
0.12,-2.75,8.43,0
-0.47,-1.84,11.81,0
-1.14,3.96,11.1,0
-0.67,3.3,7.96,0
2.28,-2.82,8.55,0
-1.57,-2.67,9.45,0
-3.73,0.67,12.55,0
0.71,3.8,9.92,0
2.16,-0.2,7.53,0
0.9,-3.3,9.49,0
-0.27,-1.92,11.81,0
-2.04,4.67,10.9,0
-0.75,2.43,8,0
0.98,-3.1,8.87,0
-0.55,-1.65,11.49,0
-1.77,4.2,11.02,0
1.18,4.28,7.77,0
1.33,0.04,7.14,0
-1.88,-3.14,9.85,0
-3.26,1.29,12.59,0
-1.84,4,9.77,0
-0.67,3.02,7.88,0
1.33,-3.33,8.87,0
-0.51,-1.41,11.49,0
-2,4.51,10.71,0
-0.63,2.55,8.16,0
0.9,-0.31,7.1,0
-1.92,-3.3,9.92,0
-2.75,1.49,12.83,0
1.37,4,9.53,0
0.9,-0.55,7.34,0
1.26,-3.14,8.83,0
-0.63,-1.41,11.69,0
-2.12,4.67,10.63,0
-0.16,2.31,7.96,0
1.73,-3.22,8.83,0
-2.12,-0.82,11.49,0
-2.39,1.53,10.87,0
1.18,4.71,9.34,0
0.55,-0.27,7.14,0
-2.28,-3.41,10.36,0
-2.55,2.16,12.51,0
1.77,4.39,9.45,0
0.2,1.8,8.12,0
1.49,-3.06,8.94,0
-1.22,-0.63,11.65,0
-2.39,4,10.63,0
2,2.2,8.16,0
0.16,-0.35,7.02,0
-2.55,-3.26,10.59,0
-2.28,2.08,12.59,0
1.65,4.71,9.26,0
0.43,1.92,7.18,0
1.65,-3.33,8.87,0
-1.33,-0.51,11.49,0
-3.06,4.82,10.51,0
0.27,1.73,8.08,0
-0.08,-0.39,7.14,0
-2.47,-3.22,10.51,0
-1.73,2.28,12.71,0
1.84,3.92,9.1,0
-0.12,-0.67,7.06,0
-2,-3.65,10.87,0
-1.92,2.28,12.51,0
-2.31,3.57,9.1,0
0.55,1.57,8.12,0
1.65,-3.18,9.02,0
-1.73,-0.31,11.53,0
-2.67,3.96,10.55,0
1.84,1.77,8.16,0
-0.08,-0.59,7.1,0
-2.47,-3.26,10.94,0
-1.37,2,12.63,0
1.61,3.3,9.02,0
-0.27,-0.47,7.14,0
1.45,-3.33,10.83,0
-1.88,-0.12,11.65,0
-2.31,3.41,10.55,0
0.75,1.57,8.08,0
1.49,-3.14,9.18,0
-2.16,-0.12,11.65,0
-2.24,4.71,10.51,0
1.41,3.96,7.96,0
-0.24,-1.1,7.18,0
-2.04,-2.98,11.1,0
-1.33,2.59,12.24,0
1.18,4.2,8.9,0
1.18,1.14,7.02,0
1.1,-2.79,9.06,0
-2.47,0.31,11.85,0
-2.28,4.28,10.43,0
1.8,0.67,8.08,0
-0.78,-1.18,7.18,0
-2.08,-3.06,11.53,0
-0.94,2.59,12.08,0
0.98,3.69,8.59,0
-0.59,-1.37,7.37,0
-2.04,-2.98,11.69,0
-2.9,3.18,12.04,0
-2.35,4.43,10.28,0
2.2,0.43,8,0
0.51,-2.71,9.26,0
-3.22,0.27,12,0
-1.77,4,10.43,0
0.31,3.8,7.73,0
-0.35,-2.24,7.61,0
-1.45,-2.86,12,0
-0.59,3.02,11.57,0
0.16,4,8.39,0
2.82,0.27,7.65,0
-0.16,-2.59,9.14,0
-3.73,0.75,12.12,0
-1.14,3.84,10.2,0
2.71,0.39,7.85,0
-0.31,-2.2,7.88,0
-0.9,-2.86,12.12,0
-0.31,2.94,11.61,0
-0.55,3.57,8.16,0
0,-2.75,8.2,0
-0.75,-2.63,11.92,0
-0.55,3.18,11.61,0
-0.78,3.61,7.92,0
2.63,0.16,7.65,0
-1.02,-2.51,9.38,0
-3.84,0.16,12.4,0
-0.08,4.31,10,0
-0.67,-0.12,7.49,0
0.16,-2.67,8.47,0
-0.59,-2.04,11.85,0
-1.22,4,11.1,0
-0.78,3.45,8.08,0
0.35,-2.9,8.55,0
-1.41,-2.24,12.08,0
-4.2,3.77,11.02,0
-0.04,3.8,10,0
2.47,-0.04,7.61,0
-1.57,-2.67,9.38,0
-3.96,0.55,12.75,0
0.27,3.77,9.92,0
-0.75,2.9,8,0
0.78,-3.02,8.71,0
-0.27,-2.12,11.73,0
-1.22,4.08,11.22,0
-0.71,2.75,7.92,0
0.59,-2.9,8.75,0
-1.49,-2.9,9.57,0
-4.04,0.71,12.51,0
0.59,3.92,10.16,0
2.08,0,7.41,0
0.39,-2.86,9.69,0
-0.47,-2.24,11.89,0
-1.61,4.12,11.14,0
-0.71,3.18,8,0
0.51,-3.1,8.59,0
-0.31,-2.31,11.96,0
-1.45,3.92,11.06,0
0.35,4.08,8.08,0
2.43,-0.12,7.65,0
-1.45,-2.67,9.41,0
-3.96,1.02,12.67,0
0.08,4.08,9.96,0
-0.94,3.33,7.96,0
0.43,-2.67,8.59,0
-0.43,-2.28,11.65,0
-0.9,3.61,11.34,0
-0.71,3.22,7.88,0
2.35,-0.2,8.75,0
-1.33,-2.39,9.45,0
-4.08,0.63,12.36,0
0.35,4.24,10.24,0
2.63,-0.35,7.53,0
0.24,-2.55,9.49,0
-0.51,-2.08,11.92,0
-1.18,3.53,11.22,0
-0.9,3.84,8.04,0
0.16,-2.71,8.36,0
-0.43,-2.28,11.96,0
-1.14,3.73,11.14,0
-0.39,4.55,8.04,0
2.75,-0.43,7.65,0
-1.26,-2.75,9.22,0
-3.77,0.24,12.67,0
-0.04,4.04,9.96,0
-0.86,-0.08,7.61,0
0.35,-2.63,8.55,0
-0.43,-2.55,11.77,0
-0.9,3.88,11.41,0
-0.82,3.33,7.85,0
0.51,-2.9,8.63,0
-1.1,-2.39,11.81,0
-4.08,4.31,11.3,0
-0.04,4.2,10.32,0
2.43,-0.04,7.49,0
-1.06,-2.71,9.49,0
-3.96,0.35,12.28,0
0.43,3.33,10.4,0
-0.59,-0.24,7.49,0
0.24,-2.98,8.28,0
-0.59,-2.24,12.04,0
-0.9,3.77,11.26,0
-0.78,3.53,8.16,0
0.39,-2.82,8.43,0
-1.1,-2.28,11.96,0
-3.65,3.61,11.41,0
-0.2,4.75,9.92,0
2.51,0.08,7.69,0
-0.86,-2.59,9.3,0
-3.88,0.47,12.4,0
-0.75,4.71,10.2,0
-0.55,3.84,7.92,0
0.04,-2.67,8.24,0
-0.82,-2.55,11.92,0
-0.31,3.1,11.57,0
-0.27,3.69,8.08,0
-0.08,-2.55,8.16,0
-0.24,-2.98,9.49,0
-4,1.14,12.04,0
-1.29,4.59,10.24,0
2.75,0.12,7.88,0
-0.27,-2.86,9.3,0
-3.8,0.55,12.12,0
-0.59,3.41,10.16,0
-0.12,3.77,8.28,0
-0.31,-2.16,7.81,0
-1.1,-3.06,12.08,0
-0.51,3.22,11.53,0
-0.16,4.08,8.2,0
-0.24,-2.43,8.04,0
-0.04,-2.71,9.22,0
-3.88,0.59,12.12,0
-1.18,3.73,10.32,0
2.47,0.04,7.88,0
-0.08,-2.82,9.3,0
-3.73,0.24,12.04,0
-0.43,3.22,10.43,0
-0.12,4,8.28,0
-0.55,-1.92,7.73,0
-1.37,-2.47,12.08,0
-0.59,3.18,11.45,0
-0.16,4.31,8.24,0
-0.47,-2.24,7.77,0
-0.43,-2.75,9.18,0
-3.77,0.86,12.16,0
-1.18,4.35,10.12,0
2.59,0.27,7.85,0
-0.51,-2.71,9.1,0
-3.73,0.94,12.4,0
-0.47,2.9,10,0
-0.31,3.61,8.04,0
-0.24,-2.47,8.12,0
-1.06,-2.79,11.89,0
-0.59,3.1,11.61,0
-0.59,4.08,7.85,0
0.08,-2.39,8.28,0
-0.47,-2.82,9.41,0
-4.12,0.82,12.08,0
-0.63,4.39,10.28,0
2.39,0,7.61,0
-0.78,-2.71,9.38,0
-0.75,-2.39,12.16,0
-0.98,3.61,10.36,0
-0.39,3.33,8.2,0
0.27,-2.59,8.16,0
-0.75,-2.43,12.04,0
-1.22,4.08,11.1,0
-0.47,3.49,8.12,0
2.71,-0.51,8.43,0
-1.33,-2.71,9.34,0
-3.61,0.39,12.55,0
-0.24,4.35,9.96,0
2.39,0,7.49,0
0.35,-2.94,8.59,0
-0.71,-2.39,11.89,0
-0.9,3.88,11.3,0
-0.78,3.41,7.73,0
0.43,-3.02,8.79,0
-1.18,-2.2,11.69,0
-4.08,4.12,11.18,0
0.24,4.35,10.2,0
2.2,-0.31,7.34,0
-1.49,-2.59,9.57,0
-3.77,0.82,12.4,0
0.16,4.35,10.12,0
-0.67,2.86,8.08,0
0.43,-3.14,8.71,0
-0.27,-2.2,11.81,0
-1.65,4.43,10.94,0
-0.75,2.9,8.08,0
2.08,-2.82,8.71,0
-1.45,-2.86,9.34,0
-3.65,0.9,12.83,0
0.43,4.12,9.92,0
2.08,-0.08,7.49,0
0.78,-2.86,9.41,0
-0.39,-2.59,11.65,0
-1.33,4.43,11.3,0
-0.82,2.86,7.77,0
0.86,-2.98,8.98,0
-0.35,-1.84,11.53,0
-1.49,4.16,11.22,0
1.14,4.28,8,0
1.57,0.08,7.22,0
-1.69,-2.98,9.61,0
-3.49,1.14,12.55,0
-1.41,4.04,10.2,0
-0.86,2.94,8.04,0
0.9,-2.98,8.83,0
-0.43,-1.8,11.61,0
-1.57,4.35,11.14,0
-0.86,3.06,8.08,0
1.57,-3.3,8.9,0
-1.92,-2.94,9.45,0
-3.37,1.14,12.71,0
1.18,4.12,9.96,0
1.33,0.12,7.18,0
0.94,-2.94,8.98,0
-0.59,-1.73,11.34,0
-1.61,3.06,11.41,0
-0.82,2.51,7.96,0
1.22,-3.49,9.1,0
-2,-1.29,11.3,0
-2.98,4.67,10.98,0
1.45,4.16,9.81,0
1.14,-0.16,7.02,0
-2.08,-3.37,9.89,0
-2.98,1.61,12.63,0
-2.16,3.88,9.73,0
-0.67,2.71,8.08,0
1.37,-3.41,8.9,0
-0.59,-1.45,11.57,0
-2.35,4.08,10.67,0
-0.71,2.16,8.12,0
0.94,-0.31,8.98,0
-2.08,-3.18,9.77,0
-2.47,1.53,12.87,0
1.45,4.79,9.45,0
0.82,-0.31,7.26,0
1.57,-3.22,9.22,0
-1.06,-0.78,11.3,0
-2.31,4.35,10.79,0
-0.43,1.92,8,0
1.37,-3.02,9.14,0
-2.12,-0.78,11.38,0
-2.31,1.33,10.67,0
2.12,3.65,9.65,0
0.35,-0.27,6.98,0
-2.31,-2.9,10.36,0
-1.92,1.8,12.75,0
1.65,4,9.22,0
0.12,1.77,8.24,0
1.45,-3.26,9.02,0
-1.45,-0.31,11.45,0
-2.43,4.35,10.43,0
0.2,1.69,8.28,0
0.43,-0.78,7.26,0
-2.39,-3.26,10.47,0
-1.77,2.12,12.63,0
1.65,3.69,9.02,0
0.2,-0.59,7.1,0
1.49,-3.3,9.18,0
-1.73,-0.24,11.38,0
-2.39,4,10.67,0
0.43,1.33,8.08,0
-0.2,-3.14,9.22,0
-2.39,-3.18,10.98,0
-1.33,1.73,12.4,0
1.73,4.35,8.94,0
-0.39,-0.55,6.94,0
-2.39,-3.1,11.02,0
-1.1,2.47,12.32,0
1.26,3.8,8.79,0
0.98,0.98,8.16,0
1.22,-3.37,9.1,0
-2.35,0.43,11.77,0
-2.51,4.47,10.28,0
1.14,3.57,8.16,0
-0.35,-1.02,7.22,0
-2.24,-2.98,11.38,0
-0.67,2.79,12.28,0
1.06,4.16,8.55,0
1.26,-1.1,7.14,0
1.26,-2.98,9.26,0
-2.94,0.51,11.73,0
-2.24,4.16,10.43,0
1.73,0.39,7.92,0
-0.59,-1.45,7.02,0
-2.04,-2.94,11.77,0
-0.78,2.94,11.77,0
1.1,3.73,8.63,0
-0.67,-1.49,6.94,0
-2.2,-3.02,11.77,0
-0.55,2.43,12,0
-2.31,3.61,8.55,0
1.77,-0.04,8.12,0
0.71,-2.75,8.98,0
-3.3,1.06,11.89,0
-2.51,4.47,10.16,0
1.49,0.39,8.04,0
-0.35,-1.45,7.18,0
-2.12,-3.06,11.61,0
-0.27,2.47,12.16,0
0.86,3.69,8.39,0
-0.31,-1.29,7.14,0
0.78,-2.51,11.65,0
-2.79,0.39,11.81,0
-2.24,4,10.43,0
1.77,0.27,7.96,0
1.02,-3.06,9.22,0
-2.04,0.78,11.89,0
-0.98,2.79,11.77,0
0.94,3.73,8.59,0
-0.71,-1.1,7.02,0
-2.12,-3.02,11.92,0
-0.59,2.39,11.96,0
1.02,3.57,8.47,0
1.92,0.39,8.12,0
0.75,-2.86,8.94,0
-3.02,0.67,12,0
-2.16,4.12,10.16,0
0.75,3.84,8,0
-0.24,-1.53,7.26,0
-2.04,-2.98,11.61,0
-0.71,3.02,12.04,0
0.82,4.35,8.32,0
1.73,0.31,6.9,0
0.82,-2.71,9.14,0
-2.75,0.43,11.81,0
-2.28,4.31,10.36,0
1.65,0.2,7.92,0
-0.55,-1.37,6.98,0
-2.08,-2.79,11.77,0
-0.75,2.71,11.85,0
0.82,3.84,8.43,0
-0.63,-1.29,6.94,0
-2.08,-2.82,11.81,0
-2.82,2.08,12.12,0
-2.31,4.12,10.16,0
1.73,0.24,8.12,0
0.94,-2.98,9.06,0
-2.9,0.47,11.96,0
-1.84,3.96,10.47,0
0.86,4.75,8.12,0
-0.55,-1.14,7.1,0
-2,-3.18,11.61,0
-0.16,1.77,12.16,0
0.94,3.96,8.36,0
1.69,0.16,6.94,0
0.86,-2.94,9.06,0
-2.86,0.55,11.73,0
-2.08,3.96,10.47,0
1.41,0.75,7.92,0
-0.59,-1.22,6.94,0
-2.12,-2.75,11.81,0
-0.82,2.47,11.89,0
1.26,3.69,8.55,0
-0.43,-1.45,7.06,0
0.71,-3.14,11.73,0
-2.59,0.67,11.96,0
-2.63,4.86,10.08,0
1.49,0.55,8.16,0
0.78,-2.79,8.98,0
-2.79,0.47,11.89,0
-0.43,2.51,10.28,0
1.02,3.77,8.47,0
-0.67,-1.18,7.14,0
-2.2,-3.1,11.57,0
-0.67,2.55,12.16,0
1.02,3.92,8.51,0
1.77,0.16,8,0
1.1,-2.9,9.22,0
-3.02,0.59,11.69,0
-2.47,4.04,10.43,0
1.37,0.39,8.12,0
-0.51,-1.26,6.98,0
-2.04,-3.18,11.77,0
-0.63,2.08,12.16,0
1.29,3.73,8.63,0
-0.27,-1.26,7.06,0
0.94,-2.9,11.61,0
-2.55,0.51,11.92,0
-2.63,3.88,10.2,0
1.41,0.35,8.16,0
1.14,-2.82,9.02,0
-2.12,-2.82,11.96,0
-0.55,2.28,10.32,0
1.22,4,8.55,0
-0.59,-1.02,7.22,0
-2.12,-3.26,11.61,0
-0.86,2.55,12.36,0
1.61,2.9,8.94,0
1.18,0.51,8,0
1.22,-2.82,9.18,0
-2.75,0.12,11.65,0
-1.96,4.16,10.4,0
1.18,0.43,8.16,0
-0.31,-1.33,7.02,0
-2.08,-3.18,11.73,0
-0.16,2.08,12.16,0
1.26,3.65,8.79,0
-0.35,-1.14,7.06,0
1.02,-2.94,11.57,0
-2.51,0,11.92,0
-2.71,4.79,10.04,0
1.41,0.55,8.24,0
0.98,-2.9,9.1,0
-2.16,-2.79,11.65,0
-0.47,2.59,10.36,0
1.61,3.84,8.67,0
-0.27,-1.22,7.22,0
-1.96,-3.22,11.49,0
-0.94,2.51,12.36,0
1.37,3.84,8.71,0
0.94,0.86,8,0
1.22,-2.98,9.3,0
-2.55,0.63,11.57,0
-2.55,4.28,10.2,0
1.61,0.9,8.04,0
-0.2,-0.94,6.94,0
-2.28,-3.14,11.41,0
-0.71,2.82,12.4,0
1.73,3.69,8.9,0
-0.27,-0.59,7.06,0
1.26,-3.3,11.14,0
-2.24,-0.04,11.61,0
-2.47,4,10.2,0
0.51,0.9,8.32,0
1.26,-3.02,9.22,0
-2.2,0.27,11.34,0
-1.49,2.79,10.32,0
1.84,3.33,8.98,0
-0.12,0.12,6.98,0
-2.16,-3.06,10.63,0
-1.96,1.69,12.98,0
1.92,3.69,9.26,0
-0.35,1.69,8,0
1.18,-2.9,9.38,0
-1.41,-0.35,11.41,0
-2.2,4.51,10.32,0
-0.71,2.31,8.04,0
0.63,-0.43,6.98,0
-1.92,-3.06,10.16,0
-2.47,1.84,13.06,0
1.84,3.73,9.73,0
1.1,-0.16,7.1,0
1.1,-3.49,9.1,0
-0.71,-1.37,11.65,0
-1.84,4.08,10.59,0
-1.61,3.26,7.81,0
0.98,-3.37,9.02,0
-0.86,-1.33,11.65,0
-3.49,4.24,10.94,0
0.78,4.35,9.96,0
1.8,-0.31,7.34,0
-1.49,-2.79,9.22,0
-3.77,1.33,12.79,0
0.47,3.96,10.36,0
-1.02,3.22,7.57,0
0.27,-2.98,8.83,0
-0.71,-2.47,12.08,0
-1.02,4.55,11.18,0
-0.67,3.49,7.69,0
2.43,0.04,8.43,0
-1.1,-2.35,9.14,0
-3.77,0.71,12.32,0
-0.51,4.47,10.63,0
2.9,-0.51,7.81,0
0.24,-2.79,8.94,0
-1.41,-2.28,12.4,0
-0.35,3.49,11.65,0
-0.04,3.88,7.96,0
-0.27,-2.51,7.77,0
-1.45,-2.51,12.4,0
-0.12,3.37,11.96,0
0.43,3.77,8.16,0
2.43,0.2,8.08,0
-0.12,-2.59,9.02,0
-3.41,0.2,11.38,0
-2.24,4.35,10.36,0
0.86,0.04,8.12,0
-0.47,-1.29,7.18,0
-2.12,-3.1,12.16,0
-1.49,3.45,12.2,0
1.57,4.28,8.94,0
-0.47,-1.02,6.9,0
0.86,-2.67,11.57,0
-2.04,-0.08,11.34,0
-2.9,5.65,9.92,0
0.39,1.02,8.32,0
1.1,-3.53,9.38,0
-1.88,-0.16,11.38,0
-2.08,1.96,9.89,0
2.2,3.18,9.77,0
0.67,-0.24,7.22,0
-1.8,-3.26,9.89,0
-1.1,1.49,13.42,0
-2.08,4.2,10.32,0
-1.22,2.67,7.92,0
1.45,-3.73,9.53,0
-0.59,-1.65,11.73,0
-0.71,4.08,10.9,0
-1.18,2.75,7.53,0
2,-0.08,7.37,0
-1.37,-2.94,9.1,0
-3.77,1.41,12.75,0
0.35,4.31,10.43,0
2.35,-0.2,7.41,0
0.2,-3.18,8.87,0
-0.9,-2.43,12.4,0
-0.9,3.69,11.53,0
-0.35,3.73,7.77,0
0.12,-3.06,8,0
-1.37,-2.63,12.75,0
-0.51,3.8,11.65,0
-1.96,4.51,8.36,0
2.79,-0.47,8.04,0
-0.24,-2.63,8.9,0
-3.26,0.16,11.38,0
-2.12,4.24,10.32,0
2.24,-0.12,8.43,0
-0.35,-1.22,6.98,0
-1.8,-3.37,12.4,0
-0.59,2.9,12.51,0
1.41,3.92,8.83,0
-0.08,-0.94,6.98,0
-2.12,-2.9,11.26,0
-1.33,2.51,12.87,0
-2.63,4.51,9.22,0
-0.08,1.37,8.12,0
1.22,-3.53,9.81,0
-1.49,-0.39,11.26,0
-1.73,3.53,10.47,0
-0.9,2.12,7.92,0
0.78,-0.24,6.9,0
-1.73,-3.02,9.69,0
-3.02,1.49,13.26,0
1.41,3.65,10.24,0
1.45,0.16,7.37,0
0.9,-3.53,9.41,0
-0.63,-1.8,12,0
-0.75,3.41,10.94,0
-0.94,3.22,7.65,0
0.31,-3.45,8.79,0
-1.33,-2.51,8.75,0
-3.96,1.22,12.55,0
-0.9,4.2,10.43,0
2.9,-0.24,7.85,0
-0.59,-2.51,8.55,0
-3.57,0.55,11.65,0
-0.71,4.28,10.4,0
0.2,3.49,8.12,0
-0.04,-2.28,7.53,0
-1.92,-2.71,12.51,0
-0.43,3.41,12.32,0
1.33,3.73,8.59,0
1.88,-0.24,6.94,0
0.86,-2.9,9.3,0
-2.63,0.27,10.9,0
-2.9,4.35,10.04,0
0.86,0.82,8.24,0
-0.35,-0.51,6.75,0
-2.12,-3.26,11.18,0
-2.04,2.55,12.91,0
2.24,3.02,9.81,0
0.59,0.04,6.9,0
1.1,-3.06,9.77,0
-1.14,-1.06,11.65,0
-2.12,3.96,10.24,0
-0.94,2.43,7.88,0
0.55,-3.49,9.61,0
-1.06,-1.26,11.92,0
-3.22,3.57,10.9,0
0.59,3.73,10.36,0
2.24,-0.12,7.65,0
-1.29,-2.82,8.67,0
-3.92,1.1,12.43,0
-0.86,4.63,10.47,0
-0.59,-0.39,7.92,0
0.24,-3.53,8.36,0
-1.45,-2.47,12.51,0
-0.2,3.22,11.96,0
0.24,3.88,8.12,0
-0.08,-2.12,7.3,0
0.2,-3.14,12.67,0
-3.02,-0.16,10.79,0
-2.75,4.28,10.2,0
1.77,0.08,8.24,0
0.75,-2.86,9.38,0
-2.28,-0.16,10.98,0
-2.75,4.39,9.89,0
2.28,2.98,9.53,0
-0.16,0,6.59,0
-1.84,-3.96,10.67,0
-2.24,2.28,13.22,0
1.92,3.45,9.92,0
-0.51,2.08,8.2,0
1.06,-3.65,9.92,0
-0.63,-1.1,11.92,0
-1.06,3.57,10.67,0
-1.26,3.49,7.49,0
